,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP,tau_val
0,3,0.47344933333333333,0.5,0.21008066666666667,1,0.5,630242,790106,2.8484996954002767e-09
1,8,0.23939333333333335,0.25,0.184853,2,0.2857142857142857,554559,163621,3.560624619250346e-09
2,84,0.12501633333333334,0.125,0.123262,6,0.07142857142857142,369786,5263,1.6734935710476628e-08
3,826,0.062466,0.0625,0.06200033333333333,19,0.023086269744835967,186001,1397,7.690949177580748e-08
4,2655,0.031254,0.03125,0.030748666666666667,69,0.025910627112279386,92246,1516,1.1963698720681162e-07
5,4768,0.015628333333333334,0.015625,0.015080333333333333,129,0.027055369127516778,45241,1644,1.0575055119173527e-07
6,6408,0.007750666666666667,0.0078125,0.007126,201,0.03152941176470588,21378,1874,7.050036746115685e-08
7,13279,0.003926666666666667,0.00390625,0.0,4888,0.36680174095752666,0,11780,1.0254598903440996e-07
8,17996,0.0019523333333333333,0.001953125,0.0,7175,0.4005023723137036,0,5857,1.1109148812061079e-07
9,22452,0.000963,0.0009765625,0.0,9356,0.41880035810205907,0,2889,1.1393998781601107e-07
10,26780,0.00048666666666666666,0.00048828125,0.0,11559,0.4324192884665744,0,1460,1.1393998781601107e-07
11,31302,0.00024233333333333333,0.000244140625,0.0,13799,0.441073997123222,0,727,1.1821273735911149e-07
12,35760,0.00012033333333333334,0.0001220703125,0.0,15955,0.4467811038615553,0,361,1.2106123705451177e-07
13,40152,5.966666666666667e-05,6.103515625e-05,0.0,18118,0.4521474382970228,0,179,1.2248548690221192e-07
14,44352,3.066666666666667e-05,3.0517578125e-05,0.0,20354,0.45644958736993185,0,92,1.1963698720681162e-07
15,69250,1.4666666666666666e-05,1.52587890625e-05,0.0,34641,0.500231046931408,0,44,7.565615190983135e-06
16,52716,7.666666666666667e-06,7.62939453125e-06,0.0,24621,0.4669081392702723,0,23,1.13227862892161e-07
17,60282,3.6666666666666666e-06,3.814697265625e-06,0.0,28469,0.48850338034936,0,11,1.823039805056177e-07
18,72875,2e-06,1.9073486328125e-06,0.0,35009,0.47278153655012223,0,6,7.292159220224708e-07
19,69164,1e-06,9.5367431640625e-07,0.0,33333,0.481941472442311,0,3,1.9120554205374356e-07
20,90864,3.3333333333333335e-07,4.76837158203125e-07,0.0,45146,0.6380789507158707,0,1,5.833727376179767e-06
21,73332,3.3333333333333335e-07,2.384185791015625e-07,0.0,35107,0.461666929672295,0,1,9.115199025280885e-08
22,99546,0.0,1.1920928955078125e-07,0.0,49878,0.5010547887408836,0,0,8.75059106426965e-06
23,103846,0.0,5.960464477539063e-08,0.0,51648,0.546296883924605,0,0,5.833727376179767e-06
24,108177,0.0,2.9802322387695312e-08,0.0,53915,0.730496165623391,0,0,5.833727376179767e-06
25,112501,0.0,1.4901161193847656e-08,0.0,56027,0.7603892402486361,0,0,5.833727376179767e-06
